id,population
2,"CABA",3075646
6,"Buenos Aires",17541141
10,"Catamarca",415438
14,"Córdoba",3760450
18,"Corrientes",1120801
22,"Chaco",1204541
26,"Chubut",618994
30,"Entre Ríos",1385961
34,"Formosa",605193
38,"Jujuy",779212
42,"La Pampa",358428
46,"La Rioja",398648
50,"Mendoza",2010363
54,"Misiones",1274992
58,"Neuquén",664057
62,"Río Negro",747610
66,"Salta",1441988
70,"San Juan",789489
74,"San Luis",514610
78,"Santa Cruz",374756
82,"Santa Fe",3563390
86,"Santiago del Estero",988245
90,"Tucumán",1714487
94,"Tierra del Fuego",173432